otra vez,"noch einmal, wieder",
otro,ein anderes,
beso,Kuss,
hace sol,es ist sonnig,
sol,Sonne,
rojo,rot,
verde,grün,
amarillo,gelb,
negro,schwarz,
marrón,braun,
gris,grau,
blanco,weiß,
el cielo,Himmel,
la paloma,Taube,
la nube,Wolke,
el prado,Wiese,
la vaca,Kuh,
el río,Fluss,
el campo,"Land, Feld",
la flor,Blume,
la abeja,Biene,
la hoja,Blatt,
la montaña,Berg,
el tráfico,Verkehr,
la raya,Streifen,
el coche,Auto,
tranquilo,ruhig,
nuevo,neu,
malo,schlecht,
feo,hässlich,
moderno,modern,
ruidoso,laut,
la universidad,Universität,
encima,"auf, über",
detrás,hinter,
dentro,"innerhalb, drinnen",
fuera,"außerhalb, draußen",
entre,zwischen,
a la derecha,rechts,
debajo,unter,
el millón,Million,
interesante,interessant,
por ejemplo,zum Beispiel,
el arquitecto,Architekt,
la catedral,"Kathedrale, Dom",
el café,Café,
el bar,"Kneipe, Bar",
la playa,Strand,
por eso,deshalb,
la actividad,Aktivität,
cada,jede/r/s,
la primavera,Frühling,
cuándo,wann,
el otoño,Herbst,
el invierno,Winter,
hace frío,es ist kalt,
el frío,Kälte,
el viento,Wind,
la lluvia,Regen,
la nieve,Schnee,
porque,weil,
esquiar,Skifahren,
el tiempo libre,Freizeit,
pasar,verbringen,
el día,Tag,
escuchar,zuhören,
nadar,schwimmen,
el deporte,Sport,
tocar,spielen,
la guitarra,Gitarre,
el fútbol,Fußball,
el tenis,Tennis,
la discoteca,Diskothek,
el animal,Tier,
simpático,sympathisch,
el señor,Herr,
sobre,über,
futbolista,Fußballspieler/in,
el problema,Problem,
el sistema,System,
el hombre,Mann,
el sofá,Sofa,
la mano,Hand,
la moto,Motorrad,
turista,Tourist/in,
joven,Jugendliche/r,
la noche,"Nacht, Abend",
el estadio,Stadion,
os,euch,
tomar el sol,sich sonnen,
interesar,interessieren,
el billete,Fahrkarte,
la tarjeta,Karte,
el viaje,"Fahrt, Reise",
la cámara,Kamera,
el cumpleaños,Geburtstag,
julio,Juli,
felicidades,"Glückwunsch, alles Gute",
el tiempo,Zeit,
qué hora es,wie spät ist es?,
la tarde,spät,
matar,umbringen,
mejor,lieber,
llamar,anrufen,
el momento,Moment,
diga,hallo?,
cariño,Liebling,
perdonar,entschuldigen,
preocuparse,sich Sorgen machen,
minuto,Minute,
hasta ahora,bis gleich,
precioso,"wunderschön, wertvoll",
todo,alles,
seguro,sicherlich,
además,außerdem,
el concierto,Konzert,
conocer,"kennen, kennenlernen",
fantástico,"toll, fantastisch",
próximo,nächste/r/s,
la cena,Abendessen,
romántico,romantisch,
un poquito,ein kleines bisschen,
perfecto,perfekt,
empezar,anfangen,
seguir,"weiterfahren, folgen",
una más,eine weiter,
olvidar,vergessen,
ese,dieser,
esa,diese,
el placer,Vergnügen,
igualmente,gleichfalls,
nos,uns,
funcionar,funktionieren,
casarse,heiraten,
conmigo,mit mir,
creer,glauben,
la semana,Woche,
el lunes,Montag,
el martes,Dienstag,
el miércoles,Mittwoch,
el jueves,Donnerstag,
el viernes,Freitag,
el sábado,Samstag,
el domingo,Sonntag,
ayer,gestern,
anteayer,vorgestern,
la mañana,morgen,
pasado mañana,übermorgen,
la fiesta,"Fest, Party",
el mes,Monat,
enero,Januar,
febrero,Februar,
marzo,März,
abril,April,
mayo,Mai,
junio,Juni,
agosto,August,
septiembre,September,
octubre,Oktober,
noviembre,November,
diciembre,Dezember,
a la semana,wöchentlich,
el fin de semana,Wochenende,
la fecha de nacimiento,Geburtsdatum,
la fecha,Datum,
a qué hora,um wie viel Uhr?,
por la mañana,vormittags,
por la tarde,"nachmittags, abends",
por la noche,"abends, nachts",
al mediodía,mittags,
el mediodía,Mittag,
en punto,genau,
el cuarto,Viertel,
medio,halbe/r/s,
menos,weniger,
el tranvía,S-Bahn,
el tren,Zug,
el avión,Flugzeug,
el barco,Schiff,
la bicicleta,Fahrrad,
el pie,Fuß,
la oficina,Büro,
ir en avión,fliegen,
el aeropuerto,Flughafen,
práctico,praktisch,
el supermercado,Supermarkt,
ir de bares,etwas trinken gehen,
las tapas,Appetithäppchen,
el cine,Kino,
el teatro,Theater,
cenar,zu Abend essen,
la compra,Einkauf,
la excursión,"Ausflug, Wanderung",
bailar,tanzen,
dar un paseo,einen Spaziergang machen,
pensar,"denken, überlegen",
mirar,anschauen,
la banda de rock,Rockband,
la paella,Reisgericht,
último,letzte/r/s,
la película,Film,
la pizza,Pizza,
el zapato,Schuh,
apetecer,"Lust haben auf, gefallen",
quedar,sich verabreden,
sentirlo,bedauern,
vale,"einverstanden, okay",
de acuerdo,einverstanden,
temprano,früh,
antes de,"vor, bevor",
entonces,"dann, also",
el recado,Nachricht,
decir,sagen,
buscar,"suchen, abholen",
tomar nota,notieren,
la nota,Notiz,
si,ob,
avenida,Allee,
todo recto,geradeaus,
girar,"abbiegen, wenden",
cruzar,überqueren,
plaza,Platz,
segundo,zweite/r/s,
tercero,dritte/r/s,
semáforo,Ampel,
esquina,Ecke,
rotonda,Kreisverkehr,
salida,"Abfahrt, Ausgang",
la estación,Bahnhof,
hay que,man muss,
dar,geben,
preferir,bevorzugen,
contar,"erzählen, zählen",
costar,kosten,
volver,zurückkommen,
pedir,"bitten um, bestellen",
repetir,wiederholen,
servir,"servieren, nützlich sein",
la regla,Regel,
terminar,beenden,
venir,mitkommen,
llevar,mitnehmen,
la familia,Familie,
por fin,endlich,
el padre,Vater,
la nariz,Nase,
roto,"gebrochen, kaputt",
romper,kaputt machen,
tu,dein/e,
pelirrojo,rothaarig,
ahora,jetzt,
la madre,Mutter,
la ayuda,Hilfe,
la caña,kleines Bier,
la patata,Kartoffel,
el calamar,Tintenfisch,
los hermanos,Geschwister,
los padres,Eltern,
la hermana,Schwester,
completo,ganz,
jugar,spielen,
todavía,noch,
la novia,feste Freundin,
saber,wissen,
el camarero,Kellner,
la gamba,Garnele,
la aceituna,Olive,
mostrar,zeigen,
el lugar,"Ort, Platz",
el carácter,Charakter,
antipático,unsympathisch,
gordo,dick,
delgado,schlank,
el alcohol,Alkohol,
la cuenta,Rechnung,
cerrar,schließen,
la copa,Stielglas,
el vino,Wein,
el plato,"Teller, Gericht",
las patatas bravas,Kartoffeln mit pikanter Soße,
el queso,Käse,
al ajillo,in Knoblauchsoße,
el pan,Brot,
total,insgesamt,
la salsa,Soße,
picante,scharf,
probar,"probieren, kosten",
el jamón,Schinken,
pagar,bezahlen,
la sardina,Sardine,
frito,"frittiert, gebraten",
la bebida,Getränk,
el vino tinto,Rotwein,
el vaso,Trinkglas,
el agua mineral,Mineralwasser,
sin,ohne,
el gas,Kohlensäure,
el café solo,Espresso,
el café cortado,Espresso mit Milch,
el café,Kaffee,
la leche,Milch,
la infusión,Kräutertee,
la menta,Pfefferminz,
la manzanilla,Kamille,
el menú del día,Tageskarte,
el menú,Menü,
traer,mitbringen,
la botella,Flasche,
